term,definition
Подход к разработке интерфейса,"Совокупность принципов, методов и практик, определяющих проектирование и реализацию пользовательского интерфейса как системы взаимодействия человека с продуктом."
Классическая разработка UI,"Подход, при котором структура экранов и поведение интерфейса преимущественно фиксируются в коде клиентского приложения и изменяются через выпуск новой версии клиента."
Backend-Driven UI,"Архитектурный паттерн, при котором сервер формирует описание интерфейса (обычно в виде JSON) и правила поведения, а клиент динамически интерпретирует и отображает это описание."
Архитектура клиента,"Структурная организация клиентского приложения (слои, модули и взаимодействия), обеспечивающая масштабируемость, сопровождаемость и адаптацию к изменениям требований."
Контракт API,"Формализованное соглашение между поставщиком и потребителем API о доступных операциях, форматах данных, правилах ошибок и гарантиях совместимости."
Дизайн-система,"Набор стандартов, переиспользуемых компонентов и правил, позволяющий управлять дизайном в масштабе, снижая дублирование и обеспечивая единый визуальный язык продукта."
Состояние UI,"Набор значений, описывающих текущую ситуацию в интерфейсе (данные, режимы, выбор пользователя), от которых зависит отображение и доступность элементов управления."
Навигация,"Система механизмов и элементов интерфейса, обеспечивающая перемещение пользователя между экранами/разделами и достижение целей эффективно и предсказуемо."
Аналитика и телеметрия,"Автоматизированный сбор, передача и анализ событий и метрик работы приложения из распределённых источников в центральную систему для мониторинга и улучшения продукта."
Тестирование UI,"Процессы проверки того, что визуальные элементы и пользовательские сценарии интерфейса корректно работают и соответствуют функциональным требованиям и ожиданиям пользователя."
Клиентский рендеринг,"Практика формирования HTML-контента на стороне браузера с использованием JavaScript, в отличие от серверного рендеринга, при котором HTML генерируется на сервере."
Компонентный фронтенд,"Подход к разработке интерфейса как композиции независимых переиспользуемых компонентов, каждый из которых инкапсулирует структуру и поведение части UI."
Ручная сборка экранов,"Практика явного кодирования структуры и логики экранов на клиенте, при которой изменения интерфейса требуют изменений кода и релиза приложения."
Серверная модель экрана,"Представление экрана как данных (компоненты, layout, действия), формируемое сервером и передаваемое клиенту для отрисовки без жёсткого кодирования экранов."
Описание UI (схема),"Формализованное описание структуры UI в машинно-читаемом формате (например, JSON), задающее типы элементов, их свойства и допустимую структуру данных."
Интерпретатор UI,"Клиентский механизм, который читает UI-схему, сопоставляет типы узлов с компонентами и выполняет рендеринг и обработку действий согласно описанию."
Feature flags,"Техника управления функциональностью, позволяющая включать, отключать или ограниченно раскатывать возможности приложения во время выполнения без повторного деплоя клиентского кода."
Версионирование схем,"Управление изменениями формата данных/контракта (например, UI-схемы) через номера версий и правила совместимости, позволяющее безопасно эволюционировать систему."
Безопасность данных,"Защита данных и информационных систем от несанкционированного доступа, использования, раскрытия, модификации или уничтожения для обеспечения конфиденциальности, целостности и доступности."
